construct_path,cfn_type,reason
ReferenceStack/CuiStorage/FileSystem/EfsMountTarget1,AWS::EFS::MountTarget,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiStorage/FileSystem/EfsMountTarget2,AWS::EFS::MountTarget,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiStorage/BackupVault/Resource,AWS::Backup::BackupVault,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiStorage/BackupPlan/Resource,AWS::Backup::BackupPlan,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiStorage/BackupPlan/BackupSelection/Resource,AWS::Backup::BackupSelection,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/StandaloneFileSystem/EfsMountTarget1,AWS::EFS::MountTarget,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/StandaloneFileSystem/EfsMountTarget2,AWS::EFS::MountTarget,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiBucket/AccessLogs/Policy/Resource,AWS::S3::BucketPolicy,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiBucket/Bucket/Policy/Resource,AWS::S3::BucketPolicy,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/StandaloneBucket/Policy/Resource,AWS::S3::BucketPolicy,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/SecurityGroup/from ReferenceStackCuiDatabaseInstanceRotationSingleUserSecurityGroupA866EE31:{IndirectPort},AWS::EC2::SecurityGroupIngress,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/Instance/Secret/Attachment/Resource,AWS::SecretsManager::SecretTargetAttachment,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/Instance/Secret/Attachment/RotationSchedule/Resource,AWS::SecretsManager::RotationSchedule,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/Instance/Secret/Attachment/Policy/Resource,AWS::SecretsManager::ResourcePolicy,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/BackupVault/Resource,AWS::Backup::BackupVault,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/BackupPlan/Resource,AWS::Backup::BackupPlan,CloudFormation resource type has no tags property; CDK tagging cannot reach it
ReferenceStack/CuiDatabase/BackupPlan/BackupSelection/Resource,AWS::Backup::BackupSelection,CloudFormation resource type has no tags property; CDK tagging cannot reach it
